Jenis_Kelamin,Tinggi_Badan,Berat_Badan,Lahir,Ukur,Umur_Bulan
MALE,93.0,14.0,1991-02-10,1995-07-20,53.0
MALE,70.3,7.7,1994-03-16,1995-07-20,16.0
FEMALE,146.3,49.0,1968-01-10,1995-07-19,330.0
FEMALE,95.5,14.8,1990-07-09,1995-07-19,60.0
MALE,84.8,10.5,1992-05-29,1995-07-19,38.0
FEMALE,64.9,7.8,1994-11-06,1995-07-19,8.0
FEMALE,147.6,49.0,1976-02-24,1995-07-20,233.0
FEMALE,150.0,48.5,1961-09-16,1995-07-19,406.0
FEMALE,145.0,47.6,1968-03-01,1995-07-19,328.0
FEMALE,102.0,16.4,1990-01-15,1995-07-19,66.0
MALE,89.8,12.7,1991-07-09,1995-07-19,48.0
FEMALE,79.0,8.8,1992-05-20,1995-07-19,38.0
MALE,61.3,7.2,1995-03-21,1995-07-19,4.0
MALE,152.4,44.9,1977-02-20,1995-07-19,221.0
FEMALE,151.7,50.3,1976-08-20,1995-07-25,227.0
MALE,999.0,453.1,1995-05-18,,
MALE,146.0,56.7,1962-03-30,1995-07-19,400.0
MALE,95.0,15.6,1991-03-08,1995-07-19,52.0
FEMALE,76.5,9.2,1993-09-21,1995-07-20,22.0
FEMALE,155.2,72.1,1959-12-01,1995-07-19,427.0
MALE,96.6,16.6,1990-04-28,1995-07-19,63.0
FEMALE,76.1,9.8,1994-02-16,1995-07-19,17.0
FEMALE,143.0,55.8,1968-04-13,1995-07-20,327.0
FEMALE,87.0,11.1,1992-09-13,1995-07-20,34.0
FEMALE,53.5,4.1,1995-06-12,1995-07-20,1.0
MALE,144.5,44.9,1966-10-26,1995-07-20,345.0
MALE,96.5,15.3,1990-09-10,1995-07-20,58.0
FEMALE,79.1,10.4,1993-07-17,1995-07-20,24.0
FEMALE,151.5,57.6,1972-03-15,1995-07-21,280.0
MALE,93.5,13.7,1991-09-30,1995-07-21,46.0
MALE,152.1,64.4,1963-10-22,1995-07-24,381.0
FEMALE,100.6,17.2,1991-07-03,1995-07-24,48.0
MALE,999.0,13.3,1992-07-28,1995-07-24,36.0
FEMALE,68.8,7.6,1994-10-14,1995-07-24,9.0
FEMALE,141.1,48.1,1962-10-30,1995-07-21,393.0
MALE,89.1,11.8,1991-02-01,1995-07-21,53.0
MALE,79.3,10.2,1993-03-29,1995-07-21,28.0
FEMALE,150.5,54.0,1974-12-19,1995-07-24,247.0
FEMALE,154.9,62.6,1969-06-21,1995-07-24,313.0
MALE,80.2,9.4,1993-05-13,1995-07-24,26.0
FEMALE,159.0,55.3,1970-06-10,1995-07-24,301.0
MALE,105.1,16.7,1990-05-28,1995-07-24,62.0
FEMALE,78.0,9.3,1994-01-02,1995-07-24,18.0
MALE,56.7,5.1,1995-05-29,1995-07-24,2.0
MALE,147.0,49.0,1977-01-14,1995-07-20,222.0
MALE,153.3,53.5,1971-03-12,1995-07-20,292.0
FEMALE,72.0,9.3,1994-10-07,1995-07-20,9.0
FEMALE,155.7,55.8,1962-02-09,1995-07-24,401.0
MALE,152.2,50.3,1964-05-01,1995-07-24,374.0
FEMALE,158.3,68.9,1967-08-28,1995-07-21,335.0
MALE,149.5,80.7,1971-08-05,1995-07-24,287.0
MALE,149.7,51.7,1961-03-06,1995-07-24,412.0
FEMALE,151.5,47.6,1960-04-18,1995-07-21,423.0
FEMALE,147.3,51.3,1975-06-14,1995-07-19,241.0
MALE,59.5,6.4,1995-03-24,1995-07-19,4.0
FEMALE,142.4,42.6,1961-09-15,1995-07-19,406.0
FEMALE,146.5,44.0,1964-11-11,1995-07-20,368.0
MALE,85.5,11.9,1993-02-11,1995-07-20,29.0
MALE,65.5,6.9,1994-11-13,1995-07-20,8.0
FEMALE,147.0,41.3,1961-06-21,1995-07-20,409.0
MALE,83.0,12.0,1993-02-17,1995-07-20,29.0
MALE,154.3,63.0,1967-02-24,1995-07-21,341.0
FEMALE,90.9,14.0,1992-01-04,1995-07-21,42.0
MALE,65.2,8.5,1994-12-01,1995-07-21,7.0
MALE,143.0,48.5,1971-04-18,1995-07-13,291.0
FEMALE,86.0,12.5,1991-08-26,1995-07-13,47.0
FEMALE,145.3,55.3,1968-04-24,1995-07-13,327.0
MALE,76.4,10.8,1993-04-24,1995-07-13,27.0
MALE,66.2,7.6,1994-02-02,1995-07-13,17.0
FEMALE,149.0,46.7,1967-08-20,1995-07-13,335.0
FEMALE,94.5,16.5,1991-06-05,1995-07-13,49.0
FEMALE,69.0,8.6,1994-10-16,1995-07-13,9.0
FEMALE,149.8,58.5,1967-06-06,1995-07-14,337.0
MALE,138.5,41.7,1969-11-02,1995-07-13,308.0
FEMALE,95.0,14.1,1990-12-20,1995-07-13,55.0
FEMALE,78.9,10.2,1993-06-03,1995-07-13,25.0
MALE,141.4,42.2,1971-04-29,1995-07-13,291.0
FEMALE,98.5,17.1,1991-05-07,1995-07-13,50.0
MALE,79.2,11.1,1993-02-07,1995-07-13,29.0
FEMALE,63.1,6.5,1994-10-24,1995-07-13,9.0
FEMALE,139.4,41.3,1973-11-21,1995-07-12,260.0
FEMALE,144.4,46.7,1961-07-17,1995-07-12,408.0
MALE,71.4,7.6,1993-08-11,1995-07-12,23.0
MALE,141.0,39.5,1972-07-01,1995-07-11,276.0
FEMALE,81.8,10.4,1992-07-30,1995-07-11,36.0
MALE,148.5,48.1,1967-08-18,1995-07-12,335.0
MALE,75.2,10.2,1993-05-30,1995-07-12,26.0
MALE,137.3,58.5,1971-11-21,1995-07-07,284.0
MALE,147.0,39.5,1972-10-01,1995-07-07,273.0
MALE,83.3,11.0,1992-03-05,1995-07-07,40.0
MALE,999.0,453.1,1994-11-18,1995-07-13,8.0
FEMALE,146.2,44.0,1961-07-22,1995-07-11,408.0
FEMALE,91.1,13.6,1991-07-05,1995-07-11,48.0
MALE,79.3,9.4,1992-12-07,1995-07-11,31.0
FEMALE,134.0,40.8,1974-08-20,1995-07-11,251.0
FEMALE,70.5,7.8,1993-11-14,1995-07-11,20.0
FEMALE,45.7,3.3,1995-06-21,1995-07-11,1.0
FEMALE,148.6,55.3,1962-12-21,1995-07-13,391.0
MALE,999.0,453.1,1992-08-29,1995-07-13,35.0
FEMALE,58.0,6.3,1995-01-13,1995-07-13,6.0
FEMALE,144.5,45.4,1973-04-08,1995-07-07,267.0
MALE,68.0,7.4,1994-05-30,1995-07-07,14.0
MALE,151.8,49.9,1965-11-16,1995-07-07,356.0
FEMALE,86.5,13.2,1992-12-29,1995-07-07,31.0
FEMALE,144.3,60.3,1969-10-02,1995-07-11,309.0
FEMALE,144.8,45.4,1973-12-01,1995-07-06,259.0
FEMALE,94.3,14.1,1990-05-22,1995-07-06,62.0
FEMALE,77.8,9.3,1992-07-02,1995-07-07,36.0
FEMALE,66.3,7.6,1994-07-14,1995-07-06,12.0
